file,std,mean,median
base_0.csv_value,3.3962205342091814,2261.018709438717,2261.0
base_0.csv_value2,2.4969203705982745,2573.9183824485267,2574.0
base_1.csv_value,2.3272813009239273,2258.776666699999,2258.0
base_1.csv_value2,3.3914304698770485,2572.365459036229,2573.0
base_2.csv_value,2.7132858827504447,2290.8991753498262,2291.0
base_2.csv_value2,3.693650577398303,2549.8940487856908,2550.0
transistor_0.csv_value,27.323066801476894,773.8127306365318,768.0
transistor_0.csv_value2,13.328761660979678,3419.9309665483274,3421.0
transistor_1.csv_value,27.995083845357875,900.9373143879928,889.0
transistor_1.csv_value2,15.70451578397955,3402.8868679192456,3398.0
transistor_2.csv_value,11.718146993372763,743.2563946163231,742.0
transistor_2.csv_value2,6.075713822572132,3330.8510189388635,3330.0
transistor_3.csv_value,9.232476897416928,754.2406979651017,752.0
transistor_3.csv_value2,5.8297310626656955,3336.050757462127,3335.0
transistor_4.csv_value,5.25554507656272,752.4421123155074,752.0
transistor_4.csv_value2,4.941574252527415,3336.0229590816366,3335.0
transistor_5.csv_value,4.283447927098354,752.3310655857922,752.0
transistor_5.csv_value2,4.9993166097826185,3336.789382808229,3337.0
transistor_reverse_0.csv_value,7.0401966979426644,3251.433883966962,3248.0
transistor_reverse_0.csv_value2,16.582863130933596,1022.2549647021178,1015.0
transistor_reverse_1.csv_value,10.667328575872483,3248.445927703615,3249.0
transistor_reverse_1.csv_value2,22.807146712008297,1017.398400079996,1019.0
transistor_reverse_2.csv_value,4.1046310728724835,3222.129788702113,3222.0
transistor_reverse_2.csv_value2,6.884220094312399,964.0376796232038,963.0
transistor_reverse_3.csv_value,3.403945524669776,3231.0706064696765,3231.0
transistor_reverse_3.csv_value2,4.951384962089414,984.3054447277636,984.0
transistor_reverse_4.csv_value,3.7263171861443776,3224.5361592768145,3225.0
transistor_reverse_4.csv_value2,6.5008233641146775,980.742475150497,980.0
transistor_reverse_5.csv_value,9.71892508431432,3204.2420018266303,3200.0
transistor_reverse_5.csv_value2,21.704585096605637,952.2993140137197,944.0
